ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60618,38,2022-09-18,2022-09-24,58.0,23014.0,61.0,24380.5,1861.0,419917,1972,444850.9,0.0,0.1,0,174,0.0,184.3,94395,60618-2022-38,POINT (-87.703343 41.946699)
60618,4,2022-01-23,2022-01-29,274.0,17198.0,290.0,18219.2,7055.0,303084,7474,321080.6,0.0,0.1,2,157,2.1,166.3,94395,60618-2022-4,POINT (-87.703343 41.946699)
60618,41,2022-10-09,2022-10-15,63.0,23237.0,67.0,24616.8,1854.0,425586,1964,450856.5,0.0,0.1,0,175,0.0,185.4,94395,60618-2022-41,POINT (-87.703343 41.946699)
60618,43,2022-10-23,2022-10-29,75.0,23380.0,80.0,24768.3,1889.0,429330,2001,454822.8,0.0,0.1,0,175,0.0,185.4,94395,60618-2022-43,POINT (-87.703343 41.946699)
60618,44,2022-10-30,2022-11-05,91.0,23471.0,96.0,24864.7,1832.0,431162,1941,456763.6,0.0,0.1,0,175,0.0,185.4,94395,60618-2022-44,POINT (-87.703343 41.946699)
60618,45,2022-11-06,2022-11-12,93.0,23564.0,98.0,24963.2,1817.0,432979,1925,458688.5,0.0,0.1,1,176,1.1,186.5,94395,60618-2022-45,POINT (-87.703343 41.946699)
60618,46,2022-11-13,2022-11-19,92.0,23656.0,98.0,25060.6,2097.0,435076,2222,460910.0,0.0,0.1,0,176,0.0,186.5,94395,60618-2022-46,POINT (-87.703343 41.946699)
60618,5,2022-01-30,2022-02-05,177.0,17375.0,188.0,18406.7,6153.0,309237,6518,327598.9,0.0,0.1,5,162,5.3,171.6,94395,60618-2022-5,POINT (-87.703343 41.946699)
60618,50,2022-12-11,2022-12-17,130.0,24174.0,138.0,25609.4,2056.0,442056,2178,468304.5,0.1,0.1,0,176,0.0,186.5,94395,60618-2022-50,POINT (-87.703343 41.946699)
60618,51,2022-12-18,2022-12-24,142.0,24316.0,150.0,25759.8,1550.0,443606,1642,469946.5,0.1,0.1,0,176,0.0,186.5,94395,60618-2022-51,POINT (-87.703343 41.946699)
60618,52,2022-12-25,2022-12-31,84.0,24400.0,89.0,25848.8,654.0,444260,693,470639.3,0.1,0.1,0,176,0.0,186.5,94395,60618-2022-52,POINT (-87.703343 41.946699)
60618,7,2022-02-13,2022-02-19,81.0,17560.0,86.0,18602.7,5689.0,320954,6027,340011.7,0.0,0.1,1,165,1.1,174.8,94395,60618-2022-7,POINT (-87.703343 41.946699)
60618,8,2022-02-20,2022-02-26,48.0,17608.0,51.0,18653.5,5271.0,326225,5584,345595.6,0.0,0.1,3,168,3.2,178.0,94395,60618-2022-8,POINT (-87.703343 41.946699)
60618,9,2022-02-27,2022-03-05,49.0,17657.0,52.0,18705.4,5342.0,331567,5659,351254.8,0.0,0.1,1,169,1.1,179.0,94395,60618-2022-9,POINT (-87.703343 41.946699)
60618,27,2023-07-02,2023-07-08,14.0,25573.0,15.0,27091.5,107.0,474600,113,502780.9,0.1,0.1,1,182,1.1,192.8,94395,60618-2023-27,POINT (-87.703343 41.946699)
60618,28,2023-07-09,2023-07-15,13.0,25586.0,14.0,27105.2,123.0,474723,130,502911.2,0.1,0.1,0,182,0.0,192.8,94395,60618-2023-28,POINT (-87.703343 41.946699)
60618,29,2023-07-16,2023-07-22,13.0,25599.0,14.0,27119.0,91.0,474814,96,503007.6,0.1,0.1,0,182,0.0,192.8,94395,60618-2023-29,POINT (-87.703343 41.946699)
60618,3,2023-01-15,2023-01-21,82.0,24642.0,87.0,26105.2,1628.0,448419,1725,475045.3,0.1,0.1,0,179,0.0,189.6,94395,60618-2023-3,POINT (-87.703343 41.946699)
60618,31,2023-07-30,2023-08-05,20.0,25636.0,21.0,27158.2,129.0,475068,137,503276.7,0.2,0.1,0,182,0.0,192.8,94395,60618-2023-31,POINT (-87.703343 41.946699)
60618,32,2023-08-06,2023-08-12,32.0,25668.0,34.0,27192.1,139.0,475207,147,503423.9,0.2,0.1,0,182,0.0,192.8,94395,60618-2023-32,POINT (-87.703343 41.946699)
60618,33,2023-08-13,2023-08-19,53.0,25721.0,56.0,27248.3,165.0,475372,175,503598.7,0.3,0.1,1,183,1.1,193.9,94395,60618-2023-33,POINT (-87.703343 41.946699)
60618,34,2023-08-20,2023-08-26,36.0,25757.0,38.0,27286.4,179.0,475551,190,503788.3,0.2,0.1,0,183,0.0,193.9,94395,60618-2023-34,POINT (-87.703343 41.946699)
60618,35,2023-08-27,2023-09-02,34.0,25791.0,36.0,27322.4,216.0,475767,229,504017.2,0.2,0.1,0,183,0.0,193.9,94395,60618-2023-35,POINT (-87.703343 41.946699)
60618,36,2023-09-03,2023-09-09,45.0,25836.0,48.0,27370.1,237.0,476004,251,504268.2,0.2,0.1,0,183,0.0,193.9,94395,60618-2023-36,POINT (-87.703343 41.946699)
60618,37,2023-09-10,2023-09-16,34.0,25870.0,36.0,27406.1,241.0,476245,255,504523.5,0.1,0.1,0,183,0.0,193.9,94395,60618-2023-37,POINT (-87.703343 41.946699)
60618,38,2023-09-17,2023-09-23,31.0,25901.0,33.0,27439.0,229.0,476474,243,504766.1,0.1,0.1,0,183,0.0,193.9,94395,60618-2023-38,POINT (-87.703343 41.946699)
60618,39,2023-09-24,2023-09-30,23.0,25924.0,24.0,27463.3,203.0,476677,215,504981.2,0.1,0.1,0,183,0.0,193.9,94395,60618-2023-39,POINT (-87.703343 41.946699)
60618,4,2023-01-22,2023-01-28,74.0,24716.0,78.0,26183.6,1667.0,450086,1766,476811.3,0.0,0.1,1,180,1.1,190.7,94395,60618-2023-4,POINT (-87.703343 41.946699)
60618,40,2023-10-01,2023-10-07,28.0,25952.0,30.0,27493.0,199.0,476876,211,505192.0,0.1,0.1,0,183,0.0,193.9,94395,60618-2023-40,POINT (-87.703343 41.946699)
60618,41,2023-10-08,2023-10-14,21.0,25973.0,22.0,27515.2,237.0,477113,251,505443.1,0.1,0.1,0,183,0.0,193.9,94395,60618-2023-41,POINT (-87.703343 41.946699)
60618,42,2023-10-15,2023-10-21,30.0,26003.0,32.0,27547.0,234.0,477347,248,505691.0,0.1,0.1,0,183,0.0,193.9,94395,60618-2023-42,POINT (-87.703343 41.946699)
60618,43,2023-10-22,2023-10-28,31.0,26034.0,33.0,27579.9,246.0,477593,261,505951.6,0.1,0.1,0,183,0.0,193.9,94395,60618-2023-43,POINT (-87.703343 41.946699)
60618,10,2024-03-03,2024-03-09,14.0,26772.0,15.0,28361.7,0.0,0,0,0.0,0.0,0.0,0,185,0.0,196.0,94395,60618-2024-10,POINT (-87.703343 41.946699)
60619,10,2024-03-03,2024-03-09,13.0,16227.0,21.0,26489.6,0.0,0,0,0.0,0.0,0.0,0,245,0.0,399.9,61258,60619-2024-10,POINT (-87.60569 41.744737)
60619,12,2024-03-17,2024-03-23,5.0,16247.0,8.0,26522.3,0.0,0,0,0.0,0.0,0.0,1,246,1.6,401.6,61258,60619-2024-12,POINT (-87.60569 41.744737)
60619,7,2024-02-11,2024-02-17,26.0,16179.0,42.0,26411.2,0.0,0,0,0.0,0.0,0.0,0,245,0.0,399.9,61258,60619-2024-7,POINT (-87.60569 41.744737)
60625,21,2021-05-23,2021-05-29,20.0,7135.0,25.0,9003.9,1476.0,118518,1863,149562.7,0.0,0.1,0,192,0.0,242.3,79243,60625-2021-21,POINT (-87.701816 41.971155)
60625,22,2021-05-30,2021-06-05,10.0,7145.0,13.0,9016.6,1524.0,120042,1923,151485.9,0.0,0.1,2,194,2.5,244.8,79243,60625-2021-22,POINT (-87.701816 41.971155)
